AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41600,51440,71990,104450,127720,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41600,51440,71990,104450,127720,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",54080,70470,82250,104000,133510,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",53390,68840,80220,102670,134930,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",53390,68840,80220,102670,134930,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",51780,62840,79520,100620,128800,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",51780,64150,79750,100790,129030,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",66880,87870,96680,134350,134350,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",66880,87870,96550,118530,134350,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",49920,55690,72920,90080,103270,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",49810,53770,71200,83130,102750,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",58760,67740,80750,110530,137790,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",51570,72470,94050,113800,137790,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",51930,56590,81330,109990,131160,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",51930,56590,81330,109990,131160,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45360,60640,79290,98720,112850,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",47870,72510,84210,100600,116240,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",72430,72520,75760,108440,116240,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",72430,72520,75760,108440,116240,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45150,61690,86460,100500,116170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45150,61690,86480,100500,116170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35990,40700,52320,74460,98300,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40700,49070,65360,88740,105210,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39680,47690,64940,89270,108280,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39280,49620,64940,82740,104550,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39200,65660,84500,98300,138610,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39680,46220,61100,85450,103840,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",48650,48780,49460,56230,60100,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",48650,48780,48920,56230,60040,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",47340,54530,75130,96510,104280,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",47340,54530,75560,96880,104280,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32830,36690,40860,49700,62680,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31810,36690,40180,48610,62390,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31240,36640,40420,48600,62390,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34680,36940,40180,49980,75870,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",62680,62680,62680,62680,62680,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",62680,62680,62680,62680,62680,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37880,45610,54610,70060,87840,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37880,45610,54610,70060,87840,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36840,45920,54720,70500,87870,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",22710,30720,37300,46810,60290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",22370,29080,37640,46850,60290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",22370,29080,37640,46850,60290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",22370,29080,37640,46850,60290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",50150,51320,52980,53880,60620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",50150,51320,52980,53880,60620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",50150,51320,52980,53880,60620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39410,45020,80060,109230,162850,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",76430,93350,110190,162760,183100,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",76430,93190,110190,162760,182590,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",76430,93190,110190,162760,182590,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37240,39480,45880,60480,97140,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37240,39480,45880,60480,97140,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37240,39480,45880,60480,97140,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29850,33730,36490,41480,45130,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29770,33700,36150,41480,44670,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29750,33700,35910,40780,43620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29750,33700,35910,40780,43620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",24960,24960,28770,38340,42880,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",24960,24960,37410,38960,53430,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",24960,24960,37410,38960,53440,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",24960,24960,24960,28770,30250,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",30180,33860,37280,44990,53630,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37480,47110,61860,80640,91750,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37480,47110,61860,80640,91750,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40210,42450,54180,68480,81030,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36860,49670,64010,85060,94210,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29320,33280,35730,38000,43460,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29110,33280,35600,37480,42330,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",28950,33280,35610,37440,42140,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",30000,30650,33530,40900,50800,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37310,39800,42720,44660,46300,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37310,39800,42720,44660,46300,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31060,35190,40290,48190,55790,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31060,35190,40290,48190,55790,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29980,34210,37690,46350,50300,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32650,37220,42680,51360,64160,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35630,38610,52240,53900,57810,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27760,30130,35720,45190,58200,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",23830,37470,45470,63020,82170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",15080,33880,45070,61560,75270,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",15080,33880,45070,61560,75270,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27760,30080,35650,44870,56830,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29680,34190,44150,57920,95790,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29680,34190,44150,57920,95790,
